,GEO_ID,NAME,Num_HH,Med_Inc_HH
0,1400000US17031010100,"Census Tract 101, Cook County, Illinois",2149,36905
1,1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",2475,40681
2,1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",1133,35724
3,1400000US17031010300,"Census Tract 103, Cook County, Illinois",2750,45224
4,1400000US17031010400,"Census Tract 104, Cook County, Illinois",1943,44018
5,1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",2286,33427
6,1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",1671,30330
7,1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",979,18250
8,1400000US17031010600,"Census Tract 106, Cook County, Illinois",2751,47610
9,1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",1494,55682
10,1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",1936,43304
11,1400000US17031020100,"Census Tract 201, Cook County, Illinois",1397,45888
12,1400000US17031020200,"Census Tract 202, Cook County, Illinois",2061,71307
13,1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",1819,51694
14,1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",1594,65682
15,1400000US17031020400,"Census Tract 204, Cook County, Illinois",1625,44755
16,1400000US17031020500,"Census Tract 205, Cook County, Illinois",1932,31576
17,1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",1754,37260
18,1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",1486,48636
19,1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",644,72796
20,1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",2354,41050
21,1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",1986,56586
22,1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",2115,50513
23,1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",2043,42725
24,1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",1449,46739
25,1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",2210,37434
26,1400000US17031030102,"Census Tract 301.02, Cook County, Illinois",2005,30794
27,1400000US17031030103,"Census Tract 301.03, Cook County, Illinois",1152,23929
28,1400000US17031030104,"Census Tract 301.04, Cook County, Illinois",1176,24892
29,1400000US17031030200,"Census Tract 302, Cook County, Illinois",2595,61175
30,1400000US17031030300,"Census Tract 303, Cook County, Illinois",1347,34960
31,1400000US17031030400,"Census Tract 304, Cook County, Illinois",1368,50000
32,1400000US17031030500,"Census Tract 305, Cook County, Illinois",2866,61341
33,1400000US17031030601,"Census Tract 306.01, Cook County, Illinois",2019,31721
34,1400000US17031030603,"Census Tract 306.03, Cook County, Illinois",1354,27927
35,1400000US17031030604,"Census Tract 306.04, Cook County, Illinois",1935,40131
36,1400000US17031030701,"Census Tract 307.01, Cook County, Illinois",969,40587
37,1400000US17031030702,"Census Tract 307.02, Cook County, Illinois",1086,64837
38,1400000US17031030703,"Census Tract 307.03, Cook County, Illinois",1688,28333
39,1400000US17031030706,"Census Tract 307.06, Cook County, Illinois",2333,42804
40,1400000US17031030800,"Census Tract 308, Cook County, Illinois",2069,76354
41,1400000US17031030900,"Census Tract 309, Cook County, Illinois",1377,61148
42,1400000US17031031000,"Census Tract 310, Cook County, Illinois",1775,53361
43,1400000US17031031100,"Census Tract 311, Cook County, Illinois",2137,56369
44,1400000US17031031200,"Census Tract 312, Cook County, Illinois",2902,17727
