GEO_ID,NAME,Num_HH,Med_Inc_HH
1400000US17031010100,"Census Tract 101, Cook County, Illinois",2149,36905
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",2475,40681
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",1133,35724
1400000US17031010300,"Census Tract 103, Cook County, Illinois",2750,45224
1400000US17031010400,"Census Tract 104, Cook County, Illinois",1943,44018
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",2286,33427
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",1671,30330
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",979,18250
1400000US17031010600,"Census Tract 106, Cook County, Illinois",2751,47610
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",1494,55682
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",1936,43304
1400000US17031020100,"Census Tract 201, Cook County, Illinois",1397,45888
1400000US17031020200,"Census Tract 202, Cook County, Illinois",2061,71307
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",1819,51694
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",1594,65682
1400000US17031020400,"Census Tract 204, Cook County, Illinois",1625,44755
1400000US17031020500,"Census Tract 205, Cook County, Illinois",1932,31576
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",1754,37260
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",1486,48636
1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",644,72796
1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",2354,41050
1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",1986,56586
1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",2115,50513
1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",2043,42725
1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",1449,46739
1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",2210,37434
1400000US17031030102,"Census Tract 301.02, Cook County, Illinois",2005,30794
1400000US17031030103,"Census Tract 301.03, Cook County, Illinois",1152,23929
1400000US17031030104,"Census Tract 301.04, Cook County, Illinois",1176,24892
1400000US17031030200,"Census Tract 302, Cook County, Illinois",2595,61175
1400000US17031030300,"Census Tract 303, Cook County, Illinois",1347,34960
1400000US17031030400,"Census Tract 304, Cook County, Illinois",1368,50000
1400000US17031030500,"Census Tract 305, Cook County, Illinois",2866,61341
1400000US17031030601,"Census Tract 306.01, Cook County, Illinois",2019,31721
1400000US17031030603,"Census Tract 306.03, Cook County, Illinois",1354,27927
1400000US17031030604,"Census Tract 306.04, Cook County, Illinois",1935,40131
1400000US17031030701,"Census Tract 307.01, Cook County, Illinois",969,40587
1400000US17031030702,"Census Tract 307.02, Cook County, Illinois",1086,64837
1400000US17031030703,"Census Tract 307.03, Cook County, Illinois",1688,28333
1400000US17031030706,"Census Tract 307.06, Cook County, Illinois",2333,42804
1400000US17031030800,"Census Tract 308, Cook County, Illinois",2069,76354
1400000US17031030900,"Census Tract 309, Cook County, Illinois",1377,61148
1400000US17031031000,"Census Tract 310, Cook County, Illinois",1775,53361
1400000US17031031100,"Census Tract 311, Cook County, Illinois",2137,56369
1400000US17031031200,"Census Tract 312, Cook County, Illinois",2902,17727
1400000US17031031300,"Census Tract 313, Cook County, Illinois",3567,32189
1400000US17031031400,"Census Tract 314, Cook County, Illinois",3235,57460
1400000US17031031501,"Census Tract 315.01, Cook County, Illinois",1773,19317
1400000US17031031502,"Census Tract 315.02, Cook County, Illinois",2412,26611
1400000US17031031700,"Census Tract 317, Cook County, Illinois",3687,45183
1400000US17031031800,"Census Tract 318, Cook County, Illinois",986,54333
1400000US17031031900,"Census Tract 319, Cook County, Illinois",1294,61189
1400000US17031032100,"Census Tract 321, Cook County, Illinois",4339,40795
1400000US17031040100,"Census Tract 401, Cook County, Illinois",1690,65625
1400000US17031040201,"Census Tract 402.01, Cook County, Illinois",2514,54155
1400000US17031040202,"Census Tract 402.02, Cook County, Illinois",2679,48168
1400000US17031040300,"Census Tract 403, Cook County, Illinois",1031,62853
1400000US17031040401,"Census Tract 404.01, Cook County, Illinois",1303,64076
1400000US17031040402,"Census Tract 404.02, Cook County, Illinois",2450,61860
1400000US17031040600,"Census Tract 406, Cook County, Illinois",1271,64402
1400000US17031040700,"Census Tract 407, Cook County, Illinois",1585,56172
1400000US17031040800,"Census Tract 408, Cook County, Illinois",730,68929
1400000US17031040900,"Census Tract 409, Cook County, Illinois",1010,58750
1400000US17031050100,"Census Tract 501, Cook County, Illinois",1143,70772
1400000US17031050200,"Census Tract 502, Cook County, Illinois",2214,62821
1400000US17031050300,"Census Tract 503, Cook County, Illinois",1095,88565
1400000US17031050500,"Census Tract 505, Cook County, Illinois",2194,85189
1400000US17031050600,"Census Tract 506, Cook County, Illinois",899,80060
1400000US17031050700,"Census Tract 507, Cook County, Illinois",721,84042
1400000US17031050800,"Census Tract 508, Cook County, Illinois",573,101607
1400000US17031050900,"Census Tract 509, Cook County, Illinois",680,82000
1400000US17031051000,"Census Tract 510, Cook County, Illinois",652,86333
1400000US17031051100,"Census Tract 511, Cook County, Illinois",728,77770
1400000US17031051200,"Census Tract 512, Cook County, Illinois",758,87813
1400000US17031051300,"Census Tract 513, Cook County, Illinois",1153,130885
1400000US17031051400,"Census Tract 514, Cook County, Illinois",1011,74811
1400000US17031060100,"Census Tract 601, Cook County, Illinois",1309,88893
1400000US17031060200,"Census Tract 602, Cook County, Illinois",1101,57978
1400000US17031060300,"Census Tract 603, Cook County, Illinois",1337,107052
1400000US17031060400,"Census Tract 604, Cook County, Illinois",1615,100970
1400000US17031060500,"Census Tract 605, Cook County, Illinois",748,58393
1400000US17031060800,"Census Tract 608, Cook County, Illinois",3177,65058
1400000US17031060900,"Census Tract 609, Cook County, Illinois",4679,52654
1400000US17031061000,"Census Tract 610, Cook County, Illinois",907,90602
1400000US17031061100,"Census Tract 611, Cook County, Illinois",592,79063
1400000US17031061200,"Census Tract 612, Cook County, Illinois",924,96842
1400000US17031061500,"Census Tract 615, Cook County, Illinois",876,87679
1400000US17031061800,"Census Tract 618, Cook County, Illinois",683,46601
1400000US17031061901,"Census Tract 619.01, Cook County, Illinois",2679,51982
1400000US17031061902,"Census Tract 619.02, Cook County, Illinois",2778,53135
1400000US17031062000,"Census Tract 620, Cook County, Illinois",1528,74333
1400000US17031062100,"Census Tract 621, Cook County, Illinois",1593,69325
1400000US17031062200,"Census Tract 622, Cook County, Illinois",1468,106337
1400000US17031062300,"Census Tract 623, Cook County, Illinois",784,98750
1400000US17031062400,"Census Tract 624, Cook County, Illinois",747,103438
1400000US17031062500,"Census Tract 625, Cook County, Illinois",667,100528
1400000US17031062600,"Census Tract 626, Cook County, Illinois",952,88716
1400000US17031062700,"Census Tract 627, Cook County, Illinois",1206,96250
1400000US17031062800,"Census Tract 628, Cook County, Illinois",1568,106974
1400000US17031062900,"Census Tract 629, Cook County, Illinois",1946,105547
1400000US17031063000,"Census Tract 630, Cook County, Illinois",1912,66875
1400000US17031063100,"Census Tract 631, Cook County, Illinois",1378,50208
1400000US17031063200,"Census Tract 632, Cook County, Illinois",4092,60241
1400000US17031063301,"Census Tract 633.01, Cook County, Illinois",1760,51719
1400000US17031063302,"Census Tract 633.02, Cook County, Illinois",2767,64738
1400000US17031063303,"Census Tract 633.03, Cook County, Illinois",1200,71563
1400000US17031063400,"Census Tract 634, Cook County, Illinois",1172,68409
1400000US17031070101,"Census Tract 701.01, Cook County, Illinois",2601,56691
1400000US17031070102,"Census Tract 701.02, Cook County, Illinois",1550,54190
1400000US17031070103,"Census Tract 701.03, Cook County, Illinois",1219,55579
1400000US17031070200,"Census Tract 702, Cook County, Illinois",2050,70672
1400000US17031070300,"Census Tract 703, Cook County, Illinois",1555,93839
1400000US17031070400,"Census Tract 704, Cook County, Illinois",1618,83468
1400000US17031070500,"Census Tract 705, Cook County, Illinois",1226,99115
1400000US17031070600,"Census Tract 706, Cook County, Illinois",1219,127460
1400000US17031070700,"Census Tract 707, Cook County, Illinois",1262,77288
1400000US17031071000,"Census Tract 710, Cook County, Illinois",1135,118962
1400000US17031071100,"Census Tract 711, Cook County, Illinois",1131,103315
1400000US17031071200,"Census Tract 712, Cook County, Illinois",1077,82461
1400000US17031071300,"Census Tract 713, Cook County, Illinois",2108,87006
1400000US17031071400,"Census Tract 714, Cook County, Illinois",2794,70192
1400000US17031071500,"Census Tract 715, Cook County, Illinois",3629,75122
1400000US17031071600,"Census Tract 716, Cook County, Illinois",845,151250
1400000US17031071700,"Census Tract 717, Cook County, Illinois",807,131094
1400000US17031071800,"Census Tract 718, Cook County, Illinois",1183,120625
1400000US17031080100,"Census Tract 801, Cook County, Illinois",3760,78973
1400000US17031080201,"Census Tract 802.01, Cook County, Illinois",2430,76822
1400000US17031080202,"Census Tract 802.02, Cook County, Illinois",2174,83382
1400000US17031080300,"Census Tract 803, Cook County, Illinois",2534,89188
1400000US17031080400,"Census Tract 804, Cook County, Illinois",2006,18023
1400000US17031081000,"Census Tract 810, Cook County, Illinois",4477,45439
1400000US17031081100,"Census Tract 811, Cook County, Illinois",2589,55704
1400000US17031081201,"Census Tract 812.01, Cook County, Illinois",2352,81450
1400000US17031081202,"Census Tract 812.02, Cook County, Illinois",1878,75100
1400000US17031081300,"Census Tract 813, Cook County, Illinois",3480,94500
1400000US17031081401,"Census Tract 814.01, Cook County, Illinois",1475,79276
1400000US17031081402,"Census Tract 814.02, Cook County, Illinois",2513,96929
1400000US17031081403,"Census Tract 814.03, Cook County, Illinois",3793,82524
1400000US17031081500,"Census Tract 815, Cook County, Illinois",2873,82591
1400000US17031081600,"Census Tract 816, Cook County, Illinois",2277,80897
1400000US17031081700,"Census Tract 817, Cook County, Illinois",1566,86711
1400000US17031081800,"Census Tract 818, Cook County, Illinois",3835,108482
1400000US17031081900,"Census Tract 819, Cook County, Illinois",584,75250
1400000US17031090100,"Census Tract 901, Cook County, Illinois",1294,80556
1400000US17031090200,"Census Tract 902, Cook County, Illinois",2848,78019
1400000US17031090300,"Census Tract 903, Cook County, Illinois",575,84604
1400000US17031100100,"Census Tract 1001, Cook County, Illinois",2202,54632
1400000US17031100200,"Census Tract 1002, Cook County, Illinois",2930,70438
1400000US17031100300,"Census Tract 1003, Cook County, Illinois",2543,65531
1400000US17031100400,"Census Tract 1004, Cook County, Illinois",1237,82060
1400000US17031100500,"Census Tract 1005, Cook County, Illinois",2211,73288
1400000US17031100600,"Census Tract 1006, Cook County, Illinois",1825,55948
1400000US17031100700,"Census Tract 1007, Cook County, Illinois",1857,67188
1400000US17031110100,"Census Tract 1101, Cook County, Illinois",1957,59519
1400000US17031110200,"Census Tract 1102, Cook County, Illinois",1145,55798
1400000US17031110300,"Census Tract 1103, Cook County, Illinois",1865,69336
1400000US17031110400,"Census Tract 1104, Cook County, Illinois",1938,53750
1400000US17031110501,"Census Tract 1105.01, Cook County, Illinois",1722,76051
1400000US17031110502,"Census Tract 1105.02, Cook County, Illinois",1439,51571
1400000US17031120100,"Census Tract 1201, Cook County, Illinois",1547,100828
1400000US17031120200,"Census Tract 1202, Cook County, Illinois",1591,89005
1400000US17031120300,"Census Tract 1203, Cook County, Illinois",2387,99543
1400000US17031120400,"Census Tract 1204, Cook County, Illinois",1274,65417
1400000US17031130100,"Census Tract 1301, Cook County, Illinois",1853,46612
1400000US17031130200,"Census Tract 1302, Cook County, Illinois",651,58550
1400000US17031130300,"Census Tract 1303, Cook County, Illinois",1809,55727
1400000US17031140100,"Census Tract 1401, Cook County, Illinois",1071,35013
1400000US17031140200,"Census Tract 1402, Cook County, Illinois",1745,41821
1400000US17031140301,"Census Tract 1403.01, Cook County, Illinois",737,55707
1400000US17031140302,"Census Tract 1403.02, Cook County, Illinois",1412,56530
1400000US17031140400,"Census Tract 1404, Cook County, Illinois",2257,45208
1400000US17031140500,"Census Tract 1405, Cook County, Illinois",1339,47113
1400000US17031140601,"Census Tract 1406.01, Cook County, Illinois",907,45817
1400000US17031140602,"Census Tract 1406.02, Cook County, Illinois",1658,39009
1400000US17031140701,"Census Tract 1407.01, Cook County, Illinois",866,42366
1400000US17031140702,"Census Tract 1407.02, Cook County, Illinois",1941,38850
1400000US17031140800,"Census Tract 1408, Cook County, Illinois",2728,62375
1400000US17031150200,"Census Tract 1502, Cook County, Illinois",3034,46425
1400000US17031150300,"Census Tract 1503, Cook County, Illinois",2761,51215
1400000US17031150401,"Census Tract 1504.01, Cook County, Illinois",1808,54375
1400000US17031150402,"Census Tract 1504.02, Cook County, Illinois",1320,46563
1400000US17031150501,"Census Tract 1505.01, Cook County, Illinois",1334,69573
1400000US17031150502,"Census Tract 1505.02, Cook County, Illinois",1574,48704
1400000US17031150600,"Census Tract 1506, Cook County, Illinois",1294,59656
1400000US17031150700,"Census Tract 1507, Cook County, Illinois",1417,58194
1400000US17031150800,"Census Tract 1508, Cook County, Illinois",1820,57031
1400000US17031151001,"Census Tract 1510.01, Cook County, Illinois",957,40222
1400000US17031151002,"Census Tract 1510.02, Cook County, Illinois",1709,47625
1400000US17031151100,"Census Tract 1511, Cook County, Illinois",1636,38313
1400000US17031151200,"Census Tract 1512, Cook County, Illinois",1245,58811
1400000US17031160100,"Census Tract 1601, Cook County, Illinois",978,53107
