"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_031E","S1903_C02_031M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","2149","147","36905","9316","43.0","7.8","39818","16170","43.5","6.9","21552","16003","0.0","1.5","-","-222222222","7.9","4.7","110852","59248","0.0","1.5","-","-222222222","2.5","2.4","60833","66392","3.2","2.9","6477","65547","8.6","4.8","29708","48525","38.1","7.5","41719","15988","3.8","2.8","16875","19106","57.7","7.2","45762","17611","30.1","5.5","42308","24105","8.4","4.8","11659","4287","1051","216","53731","8796","68.5","11.6","37143","27753","31.5","11.6","81813","49589","42.5","12.1","80876","4070","44.2","11.4","23021","15943","13.2","10.0","57148","83133","1098","195","22051","10811","64.8","10.9","19615","8110","56.9","10.6","20560","11358","7.9","5.9","13792","12580","35.2","10.9","26786","12662","30.1","9.7","25202","17666","5.0","4.4","105060","122375","27.2","-888888888.0","(X)","-888888888","33.8","-888888888.0","(X)","(X)","20.9","-888888888.0","(X)","(X)",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","2475","201","40681","6271","41.1","6.3","55368","15049","44.1","6.7","29000","5586","0.0","1.3","-","-222222222","3.9","2.6","103000","136734","0.0","1.3","-","-222222222","7.3","4.2","31000","13443","3.6","2.9","79299","41451","16.0","5.4","32031","27529","36.0","6.1","56287","15252","4.2","3.0","30862","25623","47.0","6.8","42464","12381","39.5","6.3","41420","6000","9.3","4.4","28068","42273","1150","205","44500","19935","46.6","10.8","35732","14782","53.4","10.8","52339","23494","50.4","11.3","60667","17654","42.7","11.4","23052","9882","6.9","5.7","66118","9996","1325","189","34875","11595","32.6","9.5","35208","14890","28.9","8.7","31194","12363","3.7","3.5","108882","27863","67.4","9.5","34792","13400","56.4","10.3","29365","11135","11.0","7.1","55809","15623","27.1","-888888888.0","(X)","-888888888","20.9","-888888888.0","(X)","(X)","32.5","-888888888.0","(X)","(X)",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","1133","108","35724","10379","51.2","9.0","37439","33051","39.8","8.7","30139","13052","0.0","2.8","-","-222222222","0.0","2.8","-","-222222222","0.0","2.8","-","-222222222","6.2","5.5","33871","14234","2.8","4.4","-","-222222222","12.4","8.2","53036","30273","43.4","8.7","36585","25997","3.4","3.1","35083","45495","41.8","9.8","34355","9630","43.2","10.4","43802","26867","11.6","7.1","28092","32371","663","157","57511","13459","48.7","12.7","37422","32570","51.3","12.7","58490","12486","50.2","13.0","81065","25444","33.8","10.0","26888","8955","16.0","9.8","44792","29760","470","156","13036","2749","47.0","17.0","12356","8605","46.0","17.1","12115","8327","1.1","2.0","-","-222222222","53.0","17.0","13850","12834","42.6","16.8","13500","12384","10.4","9.6","38047","57932","30.6","-888888888.0","(X)","-888888888","30.6","-888888888.0","(X)","(X)","30.6","-888888888.0","(X)","(X)",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","2750","219","45224","6127","61.1","5.7","49632","9552","26.3","5.5","40424","8643","0.0","1.2","-","-222222222","6.3","3.8","43214","50292","0.0","1.2","-","-222222222","5.5","3.3","51638","51372","0.8","0.9","24688","20049","16.7","5.6","41000","18815","52.2","6.3","54705","8673","5.7","3.6","3802","12973","47.8","6.9","46724","15552","35.2","5.7","52614","10838","11.2","4.3","21393","7169","1314","234","52162","12463","49.4","10.9","44418","14942","50.6","10.9","59602","27228","56.8","10.1","64531","13587","20.1","8.4","32344","23518","23.1","10.0","34978","10154","1436","228","37149","10409","43.2","12.1","30521","17792","38.9","11.8","24792","14518","4.4","5.6","44375","12219","56.8","12.1","40202","9011","48.9","12.7","40299","10714","7.9","6.0","39904","44239","29.6","-888888888.0","(X)","-888888888","36.8","-888888888.0","(X)","(X)","23.1","-888888888.0","(X)","(X)",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","1943","157","44018","14613","73.0","6.5","54871","11183","16.0","5.6","25500","8364","0.0","1.7","-","-222222222","6.4","3.7","71333","20306","0.0","1.7","-","-222222222","2.5","2.4","56607","23934","2.2","2.2","26875","12377","14.6","5.5","47000","28405","59.9","7.9","55034","11091","16.0","6.9","19470","23899","47.2","8.7","45313","16853","25.2","7.2","60819","18921","11.7","5.2","31442","50608","680","170","72805","18716","51.3","13.1","67303","23420","48.7","13.1","73933","38381","67.8","13.0","82212","18956","22.9","11.1","52692","54239","9.3","7.3","12386","73439","1263","196","28795","14509","55.7","10.3","25873","14521","49.7","9.5","25278","14998","6.0","3.6","70385","44310","44.3","10.3","36964","18135","32.0","8.9","27768","14977","12.3","7.5","63699","38478","18.0","-888888888.0","(X)","-888888888","17.5","-888888888.0","(X)","(X)","16.0","-888888888.0","(X)","(X)",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","2286","141","33427","5493","54.8","7.1","38514","5062","36.5","6.5","22185","16765","0.0","1.4","-","-222222222","5.4","3.7","22426","42699","0.0","1.4","-","-222222222","0.6","1.3","-","-222222222","2.7","2.1","6641","53378","6.4","4.3","48227","32331","49.4","7.1","38187","5909","7.7","3.7","27179","13760","52.6","6.2","41438","14181","27.0","5.6","33963","13293","12.7","3.6","9966","7740","817","156","22328","19564","44.6","17.8","19110","41375","55.4","17.8","30625","16260","41.6","11.4","34259","39441","48.8","13.3","21417","19017","9.5","10.3","12074","61698","1469","189","36780","6529","51.4","8.6","33125","8007","38.7","7.8","25000","17476","12.7","6.4","62050","37532","48.6","8.6","38269","6032","42.7","8.6","36098","9619","5.9","3.3","110956","123017","16.3","-888888888.0","(X)","-888888888","13.8","-888888888.0","(X)","(X)","17.6","-888888888.0","(X)","(X)",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","1671","148","30330","8375","65.3","8.2","32388","9973","20.5","7.1","27206","15476","0.0","1.9","-","-222222222","5.7","4.3","16552","39767","0.0","1.9","-","-222222222","2.1","2.0","26625","19643","6.4","3.7","30078","9249","11.1","6.4","31250","12134","58.3","8.7","32165","11000","17.5","6.7","20761","8119","48.1","8.2","36028","5415","28.7","7.3","35495","18131","5.7","3.5","7292","90639","516","136","37036","21705","40.3","15.7","18875","8016","59.7","15.7","47000","43611","73.1","16.2","65875","49427","22.9","15.1","17500","2220","4.1","5.0","12386","30217","1155","184","25417","8182","49.4","11.5","32183","8869","38.7","11.2","31794","6322","10.6","6.9","38031","19378","50.6","11.5","16188","5703","35.5","9.3","13571","3705","15.2","9.3","27094","52661","22.2","-888888888.0","(X)","-888888888","28.7","-888888888.0","(X)","(X)","19.3","-888888888.0","(X)","(X)",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","979","131","18250","5355","74.1","10.5","24816","7340","16.5","9.6","15667","13709","0.0","3.3","-","-222222222","8.1","7.4","10231","5676","0.0","3.3","-","-222222222","0.0","3.3","-","-222222222","1.3","2.1","-","-222222222","6.7","7.7","35488","47674","67.3","11.8","24228","6818","10.6","6.3","16694","22525","18.7","10.8","35791","6906","33.0","8.1","26208","7843","37.7","9.9","10115","1698","175","86","37036","44414","35.4","32.8","36463","95742","64.6","32.8","53224","54861","96.0","10.1","37177","47998","4.0","10.1","-","**","0.0","16.9","-","**","804","129","15082","4603","61.8","14.2","15348","4303","50.5","14.8","13500","5519","11.3","7.6","16895","33780","38.2","14.2","13839","10178","34.3","12.8","12167","8344","3.9","3.8","42153","140778","24.7","-888888888.0","(X)","-888888888","8.6","-888888888.0","(X)","(X)","28.2","-888888888.0","(X)","(X)",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","2751","177","47610","9587","58.7","6.4","47888","9047","23.6","5.6","43036","32981","0.0","1.2","-","-222222222","6.5","3.6","84107","57618","0.0","1.2","-","-222222222","8.2","4.7","29833","32259","2.9","1.8","48661","20398","19.8","6.5","27440","13789","49.1","6.4","54042","10736","4.5","2.2","9120","13836","54.4","6.7","53566","13541","31.1","6.4","58140","14723","10.0","5.0","12500","13994","1284","201","60556","7266","49.8","8.7","57622","38335","50.2","8.7","63526","28355","72.8","8.9","76696","32488","23.8","8.9","58031","56245","3.4","4.0","28333","13941","1467","237","36719","11113","50.4","10.3","25685","11282","41.0","9.9","25282","12853","9.4","5.4","33542","29563","49.6","10.3","43846","13007","39.6","9.7","37535","12244","10.0","6.0","73244","20769","18.3","-888888888.0","(X)","-888888888","17.1","-888888888.0","(X)","(X)","19.3","-888888888.0","(X)","(X)",
